;coefHML;coefSML;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorrmrf;r2
ACN;-0,0007877047848753973;-0,0002437642409864145;0,009001301629082204;0,0010061416602253443;0,1048903677620367;0,6978595073815299;0,23548288522107266;9,003507490423146e-123;0,37072189017549273
WFC;0,013368950251928573;-0,003170083181113349;0,011718126442955931;-0,0017253588155228632;5,236145988227246e-124;1,2108382879610345e-06;0,04951491481689551;2,73379625719664e-174;0,6156173813419747
ORCL;-0,00491503573467848;-0,0007253676019220721;0,010883494125424149;-0,0004145462013345463;4,125019912174442e-15;0,36446487158219965;0,7010688672934191;5,858114024606628e-113;0,3583094673209468
CSCO;-0,003995404607514686;-0,0005551505667987354;0,01175097905107921;-0,0018138014876922944;3,3340390671875084e-11;0,4723648593054738;0,08222007411110674;8,190271032852621e-135;0,4046542814034795
MCD;0,0005757680735852783;-0,002325478199517582;0,006156341453291216;0,00044385283473228503;0,15411750500949162;9,205909689199932e-06;0,5291503715192785;3,661394285568995e-89;0,279119600233386
QCOM;-0,004267436599086737;0,0008863929494730057;0,011710000042091719;-0,0012062779014722091;1,4552012950256913e-08;0,3597570761830968;0,35601001882668803;3,6851541471657465e-93;0,3096645681867568
ABT;-0,0017583372896185978;-0,004363158051737155;0,006354913992735606;0,0005789404955250706;0,00012385785596362176;2,7159608671916744e-13;0,4679995550511886;2,1443854067061534e-76;0,2430269842530487
CAT;0,0061536915314532635;0,0012689728480088267;0,011011088054525235;-0,0002184625149610123;1,6586406874853743e-30;0,06033064696145056;0,8106041120024907;4,335024203300124e-150;0,4848249227745085
INTU;-0,006400256173300954;0,00038419340425191;0,01100022409717157;0,0007364319779908664;8,311826802127848e-23;0,641785695898559;0,5090313778084881;4,2374831069079425e-109;0,3663359883650421
AMAT;-0,003582942490779502;0,004734678132963576;0,01446888880698872;-0,0007856953245476478;5,429905665285621e-08;2,798700937685902e-08;0,4923004661599205;7,430260253021905e-161;0,4892609844056276
IBM;0,000293818269376342;-0,0007096943777097692;0,008714772072323029;-0,001096073840336139;0,5115224211985161;0,22027453071325057;0,16094928817497178;1,1757475210166026e-132;0,39276962577239716
VZ;0,0011165340849409583;-0,003125648315584058;0,005850320438299703;-0,0013099877742969728;0,012404338716897863;7,133109780015982e-08;0,09275600245504462;4,71758520279186e-69;0,22844236999270373
GE;0,006228798010580915;-0,0005593392109177712;0,011017414440261854;-0,002705521723329703;2,1297134999474693e-30;0,4140377453134223;0,0034854794237379975;5,097437661071406e-147;0,4716067488266684
CMCSA;0,002196502958722435;-0,001891092988011408;0,009375032915483835;-0,0008242102246148532;4,234191458714775e-05;0,0063199035024801105;0,3774744873353848;2,8913859134558944e-112;0,35004526772974
NOW;-0,005016117459174999;0,0005934987664613015;0,00499620381123817;0,001928441678756483;8,195917089337193e-21;0,3837084544497641;0,036208121484973536;5,2525608694265133e-39;0,18378122511099126
INTC;-0,0030258473207477768;-0,00042577752231044903;0,011935136672950904;-0,0017732499718733665;5,579290660623296e-07;0,5841833418363981;0,0915810356635174;1,345733280851038e-136;0,4054184760715588
DHR;-0,0011048981489014582;-0,0015869236820832786;0,008628067467702791;0,0013371257864347665;0,006723488493118776;0,002622517881502282;0,06016680525756276;3,482102708634441e-151;0,4269793962293036
COP;0,007815366022398192;0,0002324361190774359;0,008777054099451264;-0,0004582715378460877;3,496890593627298e-41;0,74854771113405;0,6397606614701448;3,286228575169799e-93;0,38184929130840883
UBER;-0,0010384981287061394;0,0029535331957667413;0,0035713741069613334;-0,00037645664159611294;0,03957359263160121;6,43589018626714e-06;0,6689604091989028;4,0708877910263715e-23;0,11265284219970495
TXN;-0,0038836031416191155;0,0026961608308522416;0,011658016315890345;-0,0008696444840213252;5,608854742117279e-10;0,0008170613542013719;0,42303213684450724;4,5007163147273865e-125;0,4033937202823916
PFE;-0,0004633166666526284;-0,003746533289576675;0,007017939785131326;-0,0012960672350127024;0,3173768796482821;5,470268652188683e-10;0,10934946817351177;3,19688906336153e-88;0,2722698299908666
UNP;0,0038173563815853094;-0,000366512093284472;0,008940067303971146;0,0007039723951389957;9,890501000014879e-17;0,5318611188474989;0,3739012027890317;2,4927843095467117e-135;0,4287839388324223
AMGN;-0,0028112674496843923;-0,0026279069633903403;0,007025341889906515;5,205935371745604e-05;1,1351526265594863e-06;0,000422709961261493;0,9586481037432673;4,702145075005978e-61;0,20093850307166017
