;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
PEP;3,408704918642205e-05;-0,006631326874865523;-0,043713425324981126;0,007086118180068134;-0,0007020163159484048;0,9433244190640386;2,7303872155788723e-15;0,546213410005888;0,6148477692391932;1,2153214084159684e-43;0,4939733251263362
KO;0,002789212450259728;-0,004783425399319101;-0,037837954539759355;0,007820693601752464;-0,0010803328098413457;1,2663587296978005e-07;5,180308618991574e-08;0,38826684097168374;0,6856281109331712;3,0465373378058734e-45;0,5178209628147163
LIN;0,0020978889689396724;-0,0017957820912102309;0,09746433949381575;0,009474205271512569;0,0005030967763064559;0,00012334407274726942;0,0460181650309094;0,7008651563908824;0,31935363047869353;2,5488542407850413e-55;0,5870485849417721
TMO;-0,0032351582542667293;-0,00138903311063205;0,18349380792505998;0,008236148713832775;0,0004546489333370936;2,565027824343537e-07;0,1742504983146925;0,7602835651480976;0,09991173652869122;6,868702712260064e-38;0,476833443704752
ADBE;-0,0069193194571538046;-0,003140584371380382;-0,17123659578383388;0,012003993144774558;0,0010210102268064874;1,5699572767921344e-19;0,008582834689384115;0,5561776715978978;0,1868021279760467;4,057941069473248e-52;0,5946335573826751
DIS;0,0019330017380742924;0,0006525071515018397;-0,07384251220314336;0,010499842999964435;-0,0029193601508865153;0,0036545015618694786;0,5522868236670266;0,06915985760012536;0,5372525003679671;2,320083010796336e-48;0,5387689222131602
ACN;-0,0011328728356927815;-0,00011273048535454151;0,18493162198320273;0,010328788664107197;-0,00039224415377702414;0,02894931952892367;0,8955383556085748;0,7543024261596932;0,04888017255253616;1,8107269512099183e-65;0,65348908692318
WFC;0,010634089545027849;0,0019925976814727867;0,21379873794508705;0,01112032643619821;-0,003477542938318724;4,951461055040064e-41;0,07843647707160631;0,03556293100929221;0,08322757204373404;2,53868522761682e-50;0,6823822467457129
ORCL;-0,00032062151300274835;-0,005327539166935586;-0,039727431689674936;0,008609184540284972;0,0003349814279501142;0,634316491877749;2,973461680576731e-06;0,8376381465216493;0,7448944709614291;2,916770817485258e-35;0,4080033648724919
CSCO;-0,0003588735840667621;-0,002080292227710805;0,2970963101848137;0,007867663726632968;-0,0019536792589521373;0,5781688729684328;0,05307911607469373;0,21249060636121855;0,01145343924796987;7,134883651437269e-33;0,41696549878233624
MCD;0,001392366545070587;-0,002160119188198299;0,049561956571309906;0,007392585437023608;-0,00027505142782583987;0,005955160362811279;0,010181484812918466;0,8216972278069085;0,5867017854574255;2,8082797308385284e-43;0,49122271629918857
QCOM;-0,0011520097244499684;-0,0002657110420408119;-0,11324062124590985;0,011626981573077112;-1,5750371828725067e-05;0,2615561417861561;0,8760419895139657;0,9949455401003617;0,5420899527374359;1,9938418767601292e-29;0,36179158726656013
ABT;-0,0027223194925013014;-0,0036978313505955742;0,1784392310943678;0,008169041462455742;-0,0006403964463322284;2,2424212330916325e-05;0,0004978540820153018;0,676549202924969;0,1202835244694242;8,044403294608574e-36;0,4457110383151748
CAT;0,006482678921057521;0,0027528652994729215;0,315417753523375;0,009479766073507197;-0,0008217291300748542;3,8826706878960036e-16;0,0285403835446256;0,6530727531637992;0,02141265783998072;1,8510985628537382e-34;0,5240011797188764
INTU;-0,005157372844630999;-0,003782010570372942;-0,06727237494727989;0,013440623626828446;0,0010724437430802648;1,2818745137012964e-15;0,00023330801703834542;0,46995086066964487;0,5438801341767584;1,65874472694159e-73;0,6928672167795037
AMAT;-0,0015569053144529688;0,0013375125684576385;0,022467216311174876;0,015675004482356536;-0,000147182245105261;0,10131033820623168;0,39619696539024896;0,9489698242431301;0,8959258798441698;4,823129968466021e-51;0,5590421793610889
IBM;0,0033296184692379214;-0,0009186939520073347;0,07606088480672751;0,008271176753191018;-0,0019653309186299373;2,7029428513459835e-07;0,3831242201507117;0,2014844536786706;0,507617652544053;1,9812626694129067e-36;0,462386900575125
VZ;0,0020125409033796425;-0,0027406609942004848;0,2644407820726392;0,0039773653023098664;-0,002859690649321682;0,0005719435782995956;0,004630194599465299;0,04228393196032021;0,012077246895657853;3,5597049465322663e-13;0,23273770697325524
GE;0,007940511907849395;0,003273347077553313;0,04197229298826721;0,010487851237906878;-0,0017968067331991233;9,618799627369293e-14;0,05385301329903186;0,46725548832392805;0,8200669075538748;2,677653268616301e-25;0,42303211754499526
CMCSA;0,0024390213286186067;-0,0009212625845218505;0,1751150453827307;0,007947172490574157;-0,0021239474735487126;0,0001405680201615191;0,3814933425697705;0,16728032425726294;0,12750268513647747;2,3898626214635635e-34;0,4400728322163989
NOW;-0,008100254551787997;0,0017577417043459454;-0,4089147053150799;0,012097277403205075;0,0031942566947855792;2,3000269921920276e-20;0,19529041417225168;0,10714161892689754;0,00595084654153253;7,270136225080852e-44;0,5665308147606656
INTC;2,462857624444502e-06;-0,0012949236529413684;0,1767214817754601;0,010264587259738441;-0,0025362137431750474;0,9978601853859922;0,39641547081879047;0,25537514235558934;0,2885521066322877;9,168612244131453e-29;0,36344731653705564
DHR;-0,0032370758295756866;-0,0020710101882471825;0,07052038976307688;0,008905971560986181;0,0007316097740217866;2,4246913806752094e-07;0,04285383826051267;0,6229525803758242;0,5257663929608247;1,491207007047832e-42;0,5017825903581455
COP;0,01093920940919053;0,002221493092788935;-0,0528252682388996;0,009788289382369985;0,0005118997334381875;7,99828762421668e-24;0,18129197846196088;0,8326246891525217;0,7702859516161247;2,1095002718396132e-23;0,46062028550213185
UBER;-0,0019658609441095547;0,01106251059116411;-0,2721299743367503;0,011986643940505404;-0,0007232788528502604;0,11230708182084478;1,3877566413966104e-07;0,8092887323673343;0,22458418118738302;5,0574772078648175e-23;0,38199366782661637
TXN;-0,0002950974553732693;0,001617384025128298;0,17229608860242887;0,008871185286456957;-0,0011312169999568552;0,61270617316761;0,0956799182040313;0,42384546739508955;0,10345101913810344;1,66264153975792e-45;0,5352445706217765
PFE;-0,00019266791475933142;-0,002670308479061684;0,11968745402520342;0,006306836390738606;-0,0026262914558467807;0,7928832356168016;0,0291442280992307;0,14073869984939238;0,36819889934611083;5,932313548006225e-19;0,24807166826173976
UNP;0,003272571108099433;0,00017809604115144725;0,05267437443959036;0,00940017837521558;-0,00042004151522636137;6,96584315252861e-08;0,8564864908502585;0,7701291508831236;0,6237246571541117;3,248473685373131e-48;0,5567642282224325
AMGN;-0,0008255654553432845;-0,003301931418236176;0,26945379194577945;0,006286836834514365;-0,0009011640375808416;0,2288362532081214;0,003975167816488377;0,5877815372602715;0,030587398252168364;4,70810678009457e-21;0,2924273140383008
PM;0,0017016435026419212;-0,004658754931490483;-0,11086298270016558;0,008645045514378875;-0,0022255730089332368;0,029385748499908944;0,0003632996166410472;0,23888748213683125;0,431842900571644;1,7094471004701707e-28;0,34527106837644916
LOW;-0,0002974974823381708;-0,0011772805185017387;0,10189830308961778;0,01278003655681209;-0,0005109150193322507;0,7141237635997266;0,3832599596548042;0,795341166784481;0,48866530962493915;1,0878789245555512e-47;0,5261180015855895
SPGI;-0,001633228940914886;-0,0027363586519858103;-0,045372861050781074;0,01048364370132436;0,00043694206183716154;0,0027893999466113537;0,0025760433038682145;0,7397534195269209;0,6442076224320021;9,296037056052437e-63;0,6166810137927167
ISRG;-0,0029592162836321193;0,0006087810793621791;0,13282689288457658;0,013248263422863879;-0,00032805116455217375;5,601859117530844e-05;0,6133122187417347;0,8519759371080582;0,31210831357239516;2,2487409061787296e-58;0,6160271639168804
MU;0,0014641669770799688;0,0034811707686109635;0,06206246301933832;0,012731510792601278;-0,0009771134018540858;0,18155260129448036;0,05631718595533535;0,7128234480030984;0,7542550530615251;1,3467430545462141e-30;0,4033906334953138
RTX;0,0076984177619173364;0,001000661926529717;0,10376244439545182;0,010878645493393372;-0,002465115777032492;5,475904306079103e-26;0,3655873592997685;0,12722515247822533;0,38941559408884874;2,6829463681795406e-50;0,6311518656588806
GS;0,00656309661430291;0,0009537788412722886;-0,031297034320157124;0,012831857082530087;-0,0013145418232345541;1,0504330065097508e-26;0,30345299800505504;0,33116715098866867;0,756562972544605;1,1111733835016737e-77;0,7426114106339465
NEE;-0,0007361530649416375;-0,0015555440845954633;-0,030371448788787114;0,00790945363055685;-0,00045725554116672027;0,33802781065628207;0,22333751820438422;0,8060584720946635;0,8271559351092306;2,562813100548178e-25;0,3133056957669278
HON;0,004682058982973544;-0,0013671592507703248;0,08418643014547629;0,010478568032722593;-0,001463504130758249;4,499318894398131e-19;0,09455880556970829;0,21968151523546617;0,3442391949074328;5,763486565663713e-71;0,7007921428008301
ETN;0,00469251447447986;0,00013815689245178753;0,1349011899364499;0,010775789831882421;0,0007709448854277762;1,4970551420838778e-15;0,8815597186545907;0,5690447075733212;0,18265514904974242;1,1478368555648722e-62;0,6640893494243293
AXP;0,007205184018531467;0,0003303248914099914;0,10542098730014646;0,013713017907839995;-0,0011527680452891654;1,0276967371753939e-23;0,7631599445852936;0,4714031749441837;0,37794819349496633;9,968366992724748e-69;0,7054667612394796
LRCX;-0,0018195219239328943;-0,00025151210337489194;0,03106474874550763;0,017038531436052485;0,0004534993533387116;0,07799389287072692;0,8831525038227388;0,8559316158591397;0,8677468127545969;4,2543914045450146e-51;0,5532005956367125
BKNG;0,003014926620085996;0,0031405504349610353;-0,05497076940894882;0,011903386685510099;-0,00034073591850553237;0,0001810425644204383;0,018115728817908426;0,8599328422414546;0,7030983539177361;2,246450517616878e-44;0,5305930864481694
PGR;0,0010455594757168881;-0,007000439261663466;0,048833933420861536;0,006771673992819334;0,0013988397793621647;0,1303110356781603;2,983504350692255e-09;0,40340950361854444;0,6959911496336015;1,8610866474447745e-23;0,31848536522886217
T;0,004601728719875162;-0,002202378186997472;-0,04119375121372895;0,0070262396153573;-0,0033024622546644028;4,0465609754001125e-12;0,038342093279153944;0,03339272962631041;0,7214074690787625;3,9162985140140953e-28;0,4072261429686632
ELV;0,002650923497806408;-0,005563970740132499;-0,014591586611965579;0,010283960331043913;-0,00020503640511471024;0,0025739951016132863;0,00015006136029763024;0,9228530378357432;0,9264775037718502;3,400209611143615e-31;0,3831364203434464
SYK;0,0006503387170938989;0,0005616462092445768;0,0316561867303215;0,011188231229352662;-0,0006952963116703026;0,27809890010781874;0,5727121200166014;0,632342766869732;0,7705208495389535;4,926960715921033e-60;0,6157892151848395
C;0,010186265649599586;0,0013225556823860045;-0,029961746946550294;0,01337322780185305;-0,0038317766751228347;4,00643082260492e-47;0,17851180176358578;0,00783855119583115;0,7794941068308338;3,739005428691243e-76;0,7699595622980622
MS;0,006319407340413157;0,0012073844361199912;0,19955609109371064;0,012241267230436425;-0,0012709393377209003;4,376955483913967e-22;0,2302818385369234;0,3866988728019165;0,06936081235616007;1,8153494205073618e-66;0,7006358322697817
