;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
KO;0,0031431232374304896;-0,004609587267926676;0,059759337139367256;0,0082505016781546;-0,002148424989196984;6,442935501640953e-08;6,185559511333174e-06;0,1831619986815761;0,6489453959726292;2,0276050206120335e-35;0,5805680594195681
LIN;0,002044389935780515;-0,0014986456171035463;0,22116393885416322;0,00962466297218769;-4,213319985889154e-05;0,00036000257190374203;0,13519077234831797;0,9792549726919695;0,09506234261509057;6,822688072661131e-43;0,6464580778338928
TMO;-0,0031069404494918984;-0,0015010330331173241;0,1374384877842429;0,007797174535815153;-4,178719778015954e-05;1,2998621493498287e-05;0,22481650901209446;0,983324673899076;0,3993066732830768;3,711228513177478e-24;0,4529385075105805
ADBE;-0,006844990331824626;-0,003681292744126812;-0,18896719930386638;0,012200744423563252;0,000590497434610962;4,1896846753622296e-14;0,014551880645997573;0,8074287438444996;0,33896948573074726;1,2693333428890389e-34;0,5904244183796652
DIS;0,002160486172290727;0,0013089318212426329;0,05921959304437364;0,010799265773857477;-0,005277304473447163;0,00342604143050666;0,3129117587784145;0,012563645350060371;0,7291180166078518;1,2175904683299726e-35;0,5866220947992786
ACN;-0,0008943831305386445;0,0005509115660068074;0,42208713357137395;0,010179659962913045;-0,0014132372027649378;0,1287474590300103;0,5968674936402707;0,40244323312041863;0,0023924201602648046;9,269182180881343e-44;0,6673762944608048
WFC;0,010785042709810866;0,0029785749222518963;0,2363117926823888;0,011275195042492083;-0,0043583496250656235;7,4076061228515056e-31;0,03352317084260845;0,05455690065034548;0,1997225412018966;3,013160347474751e-34;0,7024026573999611
ORCL;-0,00030434056938477284;-0,005501004476408026;-0,12324491777748921;0,00811589852322421;0,0014932920517781937;0,6975181912616493;0,0001008026785894008;0,5068999142274142;0,5014792321427124;1,5433718017212137e-21;0,368042404018856
CSCO;-0,0003530439700018246;-0,001393845307941024;0,3611655652645989;0,006982453043435781;-0,0026827969396221946;0,6154188920188726;0,2640191175797149;0,18467833173319684;0,02901248016792798;3,23352262252593e-20;0,38961419836574984
MCD;0,0016937380645960605;-0,0021199820852559202;0,0784182779211282;0,007861077053677893;-0,00044011536393026606;0,0008342522813798387;0,01758657245603449;0,7592999421446296;0,5030749532579986;1,208034446682334e-38;0,5971794983315587
