Date;Mkt-RF;SMB;HML;RF;rendimientos microsoft;% Fundflows
03/01/2018;0,59;-0,39;-0,18;0,60%;0,46%;-0,08%
04/01/2018;0,42;-0,26;0,24;0,60%;0,88%;-0,36%
05/01/2018;0,66;-0,35;-0,26;0,60%;1,23%;-0,19%
08/01/2018;0,19;-0,15;0,05;0,60%;0,10%;-0,46%
09/01/2018;0,15;-0,35;-0,04;0,60%;-0,07%;0,82%
10/01/2018;-0,07;0,07;0,57;0,60%;-0,45%;0,43%
11/01/2018;0,87;1,15;0,31;0,60%;0,30%;1,27%
12/01/2018;0,66;-0,31;0,16;0,60%;1,71%;0,96%
16/01/2018;-0,49;-1,02;0,01;0,60%;-1,41%;-0,48%
17/01/2018;0,95;-0,03;-0,1;0,60%;2,01%;-0,07%
18/01/2018;-0,18;-0,5;-0,25;0,60%;-0,04%;2,14%
19/01/2018;0,57;0,94;-0,04;0,60%;-0,11%;-0,38%
22/01/2018;0,77;-0,34;-0,16;0,60%;1,77%;1,10%
23/01/2018;0,22;0,14;-0,36;0,60%;0,32%;0,81%
24/01/2018;-0,13;-0,84;0,44;0,60%;-0,09%;0,81%
25/01/2018;0,07;0,14;-0,54;0,60%;0,55%;-0,13%
26/01/2018;1,11;-0,61;-0,51;0,60%;1,86%;0,08%
29/01/2018;-0,62;-0,02;-0,25;0,60%;-0,15%;-0,26%
30/01/2018;-1,06;0,14;-0,21;0,60%;-1,26%;1,55%
31/01/2018;-0,07;-0,74;0,11;0,60%;2,42%;1,44%
01/02/2018;0,03;0,08;0,54;0,60%;-0,79%;0,22%
02/02/2018;-2,13;0,04;-0,29;0,60%;-2,67%;-0,48%
05/02/2018;-4,03;0,78;-0,58;0,60%;-4,21%;-0,38%
06/02/2018;1,67;-0,52;-0,18;0,60%;3,71%;-1,61%
07/02/2018;-0,38;0,53;0,21;0,60%;-1,90%;-2,35%
08/02/2018;-3,68;0,81;0,52;0,60%;-5,27%;-0,02%
09/02/2018;1,36;-0,58;0,15;0,60%;3,66%;-2,56%
12/02/2018;1,36;-0,46;-0,29;0,60%;1,07%;-0,64%
13/02/2018;0,31;0,08;-0,24;0,60%;0,78%;2,47%
14/02/2018;1,52;0,26;0,49;0,60%;1,09%;-0,11%
15/02/2018;1,21;-0,14;-0,63;0,60%;2,02%;-0,23%
16/02/2018;0,03;0,36;0,16;0,60%;-0,72%;0,21%
20/02/2018;-0,62;-0,36;-0,24;0,60%;0,78%;-1,10%
21/02/2018;-0,43;0,79;0,23;0,60%;-1,34%;-0,08%
22/02/2018;0,01;0,05;-0,41;0,60%;0,26%;0,75%
23/02/2018;1,54;-0,38;-0,15;0,60%;2,51%;0,12%
26/02/2018;1,12;-0,51;-0,07;0,60%;1,44%;-0,84%
27/02/2018;-1,25;-0,19;0,03;0,60%;-1,29%;1,65%
28/02/2018;-1,11;-0,42;-0,31;0,60%;-0,46%;0,87%
01/03/2018;-1,19;1,01;-0,02;0,50%;-0,99%;0,13%
02/03/2018;0,7;1,17;-0,49;0,50%;0,22%;-0,96%
05/03/2018;1,06;-0,39;0,23;0,50%;0,63%;-0,81%
06/03/2018;0,36;0,69;0,12;0,50%;-0,34%;-0,67%
07/03/2018;0,05;0,78;-0,44;0,50%;0,58%;-0,71%
08/03/2018;0,37;-0,48;-0,36;0,50%;0,61%;-0,42%
09/03/2018;1,7;-0,25;0,28;0,50%;2,21%;0,89%
