Date;Mkt-RF;SMB;HML;RF;rendimientos apple;% Fundflows
03/01/2018;0,59;-0,39;-0,18;0,60%;-1,04%;-1048,214
04/01/2018;0,42;-0,26;0,24;0,60%;-0,86%;-1677,034
05/01/2018;0,66;-0,35;-0,26;0,60%;0,67%;-624,76
08/01/2018;0,19;-0,15;0,05;0,60%;6,07%;-1559,184
09/01/2018;0,15;-0,35;-0,04;0,60%;-0,81%;2438,595
10/01/2018;-0,07;0,07;0,57;0,60%;0,31%;-1152,643
11/01/2018;0,87;1,15;0,31;0,60%;0,94%;3618,606
12/01/2018;0,66;-0,31;0,16;0,60%;-0,53%;2898,89
16/01/2018;-0,49;-1,02;0,01;0,60%;1,15%;-1598,182
17/01/2018;0,95;-0,03;-0,1;0,60%;2,05%;-235,425
18/01/2018;-0,18;-0,5;-0,25;0,60%;-0,74%;6709,774
19/01/2018;0,57;0,94;-0,04;0,60%;1,56%;-1116,589
22/01/2018;0,77;-0,34;-0,16;0,60%;0,47%;3168,24
23/01/2018;0,22;0,14;-0,36;0,60%;0,34%;2458,949
24/01/2018;-0,13;-0,84;0,44;0,60%;-1,98%;2450,212
25/01/2018;0,07;0,14;-0,54;0,60%;-2,41%;-750,224
26/01/2018;1,11;-0,61;-0,51;0,60%;1,54%;382,419
29/01/2018;-0,62;-0,02;-0,25;0,60%;1,91%;-3066,908
30/01/2018;-1,06;0,14;-0,21;0,60%;-1,08%;4299,243
31/01/2018;-0,07;-0,74;0,11;0,60%;2,44%;4140,071
01/02/2018;0,03;0,08;0,54;0,60%;-1,45%;84,534
02/02/2018;-2,13;0,04;-0,29;0,60%;-1,56%;-2225,065
05/02/2018;-4,03;0,78;-0,58;0,60%;-3,15%;-1847,234
06/02/2018;1,67;-0,52;-0,18;0,60%;0,23%;-5328,248
07/02/2018;-0,38;0,53;0,21;0,60%;3,27%;-7991,108
08/02/2018;-3,68;0,81;0,52;0,60%;-9,00%;-66,932
09/02/2018;1,36;-0,58;0,15;0,60%;-1,58%;-7886,689
12/02/2018;1,36;-0,46;-0,29;0,60%;1,73%;-2367,989
13/02/2018;0,31;0,08;-0,24;0,60%;2,49%;7242,567
14/02/2018;1,52;0,26;0,49;0,60%;-0,42%;-997,505
15/02/2018;1,21;-0,14;-0,63;0,60%;3,57%;-808,903
16/02/2018;0,03;0,36;0,16;0,60%;0,45%;518,592
20/02/2018;-0,62;-0,36;-0,24;0,60%;-0,22%;-3235,845
21/02/2018;-0,43;0,79;0,23;0,60%;-0,45%;-665,163
22/02/2018;0,01;0,05;-0,41;0,60%;3,80%;2119,605
23/02/2018;1,54;-0,38;-0,15;0,60%;1,68%;-108,119
26/02/2018;1,12;-0,51;-0,07;0,60%;1,52%;-2979,72
27/02/2018;-1,25;-0,19;0,03;0,60%;-1,82%;5029,629
28/02/2018;-1,11;-0,42;-0,31;0,60%;-2,29%;2112,882
