Date;Mkt-RF;SMB;HML;RF;rendimientos apple;% Fundflows
03/01/2018;0,59;-0,39;-0,18;0,60%;0,46%;-1048,214
04/01/2018;0,42;-0,26;0,24;0,60%;0,88%;-1677,034
05/01/2018;0,66;-0,35;-0,26;0,60%;1,23%;-624,76
08/01/2018;0,19;-0,15;0,05;0,60%;0,10%;-1559,184
09/01/2018;0,15;-0,35;-0,04;0,60%;-0,07%;2438,595
10/01/2018;-0,07;0,07;0,57;0,60%;-0,45%;-1152,643
11/01/2018;0,87;1,15;0,31;0,60%;0,30%;3618,606
12/01/2018;0,66;-0,31;0,16;0,60%;1,71%;2898,89
16/01/2018;-0,49;-1,02;0,01;0,60%;-1,41%;-1598,182
17/01/2018;0,95;-0,03;-0,1;0,60%;2,01%;-235,425
18/01/2018;-0,18;-0,5;-0,25;0,60%;-0,04%;6709,774
19/01/2018;0,57;0,94;-0,04;0,60%;-0,11%;-1116,589
22/01/2018;0,77;-0,34;-0,16;0,60%;1,77%;3168,24
23/01/2018;0,22;0,14;-0,36;0,60%;0,32%;2458,949
24/01/2018;-0,13;-0,84;0,44;0,60%;-0,09%;2450,212
25/01/2018;0,07;0,14;-0,54;0,60%;0,55%;-750,224
26/01/2018;1,11;-0,61;-0,51;0,60%;1,86%;382,419
29/01/2018;-0,62;-0,02;-0,25;0,60%;-0,15%;-3066,908
30/01/2018;-1,06;0,14;-0,21;0,60%;-1,26%;4299,243
31/01/2018;-0,07;-0,74;0,11;0,60%;2,42%;4140,071
01/02/2018;0,03;0,08;0,54;0,60%;-0,79%;84,534
02/02/2018;-2,13;0,04;-0,29;0,60%;-2,67%;-2225,065
05/02/2018;-4,03;0,78;-0,58;0,60%;-4,21%;-1847,234
06/02/2018;1,67;-0,52;-0,18;0,60%;3,71%;-5328,248
07/02/2018;-0,38;0,53;0,21;0,60%;-1,90%;-7991,108
08/02/2018;-3,68;0,81;0,52;0,60%;-5,27%;-66,932
09/02/2018;1,36;-0,58;0,15;0,60%;3,66%;-7886,689
12/02/2018;1,36;-0,46;-0,29;0,60%;1,07%;-2367,989
13/02/2018;0,31;0,08;-0,24;0,60%;0,78%;7242,567
14/02/2018;1,52;0,26;0,49;0,60%;1,09%;-997,505
15/02/2018;1,21;-0,14;-0,63;0,60%;2,02%;-808,903
16/02/2018;0,03;0,36;0,16;0,60%;-0,72%;518,592
20/02/2018;-0,62;-0,36;-0,24;0,60%;0,78%;-3235,845
21/02/2018;-0,43;0,79;0,23;0,60%;-1,34%;-665,163
22/02/2018;0,01;0,05;-0,41;0,60%;0,26%;2119,605
23/02/2018;1,54;-0,38;-0,15;0,60%;2,51%;-108,119
26/02/2018;1,12;-0,51;-0,07;0,60%;1,44%;-2979,72
27/02/2018;-1,25;-0,19;0,03;0,60%;-1,29%;5029,629
28/02/2018;-1,11;-0,42;-0,31;0,60%;-0,46%;2112,882
01/03/2018;-1,19;1,01;-0,02;0,50%;-0,99%;27,139
02/03/2018;0,7;1,17;-0,49;0,50%;0,22%;-3173,799
05/03/2018;1,06;-0,39;0,23;0,50%;0,63%;-2705,54
06/03/2018;0,36;0,69;0,12;0,50%;-0,34%;-2082,091
07/03/2018;0,05;0,78;-0,44;0,50%;0,58%;-2510,671
08/03/2018;0,37;-0,48;-0,36;0,50%;0,61%;-2277,761
09/03/2018;1,7;-0,25;0,28;0,50%;2,21%;3110,714
12/03/2018;-0,09;0,47;-0,08;0,50%;0,24%;2857,92
13/03/2018;-0,67;0,08;0,03;0,50%;-2,47%;2659,366
14/03/2018;-0,53;0,23;-0,57;0,50%;-0,60%;1978,536
15/03/2018;-0,18;-0,39;0,32;0,50%;0,35%;165,129
16/03/2018;0,25;0,47;0,18;0,50%;0,45%;-5500,352
19/03/2018;-1,38;0,35;0,41;0,50%;-1,82%;1769,841
20/03/2018;0,15;-0,08;-0,36;0,50%;0,26%;-1176,676
21/03/2018;-0,06;0,75;0,45;0,50%;-0,70%;1408,708
22/03/2018;-2,54;0,51;-0,49;0,50%;-2,95%;1108,777
23/03/2018;-2,09;0,21;-0,23;0,50%;-2,95%;-3242,773
26/03/2018;2,67;-0,68;0,03;0,50%;7,30%;-7924,137
27/03/2018;-1,87;-0,21;0,37;0,50%;-4,71%;1776,344
28/03/2018;-0,35;0,14;0,65;0,50%;-0,09%;2970,211
29/03/2018;1,41;-0,32;-0,22;0,50%;2,08%;-1390,086
02/04/2018;-2,29;-0,15;0,36;0,70%;-3,06%;-2634,175
03/04/2018;1,24;-0,04;0,19;0,70%;1,34%;-2201,93
04/04/2018;1,17;0,33;-0,32;0,70%;2,88%;-1356,134
05/04/2018;0,75;0,03;0,46;0,70%;0,05%;-514,467
06/04/2018;-2,19;0,39;-0,06;0,70%;-2,36%;1089,27
09/04/2018;0,3;-0,15;-0,53;0,70%;0,60%;-2091,865
10/04/2018;1,77;0,4;-0,12;0,70%;2,30%;4368,428
11/04/2018;-0,49;0,92;-0,31;0,70%;-1,10%;609,883
