Column1;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
ANET;-0,000568768;-0,002675577;0,249150024;0,003922965;-0,00505122;0,425710728;0,020761919;2,08E-08;0,106368727;2,76E-10;0,048445773
HII;0,003333801;-0,000936144;-0,187627211;0,002925518;-0,006546395;9,05E-10;0,282870906;2,77E-21;0,106923538;4,33E-10;0,08132888
TROW;0,00193434;-0,001633778;0,223206352;0,004810475;-0,006783133;0,002820699;0,118382995;1,84E-16;0,109905108;2,36E-17;0,088115464
HSY;0,001548338;-0,000579329;0,161395256;0,003590146;-0,006426963;0,001010103;0,445864525;3,15E-26;0,111714076;3,52E-18;0,09503959
EL;0,001366679;-0,002491917;-0,224799186;0,004927768;-0,00684433;0,037777787;0,019304699;3,13E-16;0,113450961;1,44E-17;0,085101679
NVDA;-0,002019842;-0,002092317;0,30657673;0,006021962;-0,004480876;0,025740818;0,153107616;8,06E-05;0,116785163;2,78E-14;0,071835987
CNC;0,000959059;-0,001745717;0,222933647;0,004743955;-0,006516911;0,145266984;0,101446311;7,26E-15;0,117013189;2,13E-16;0,077548713
AXON;8,49E-05;0,001851565;0,288480918;0,003734754;-0,00545671;0,921470678;0,184146983;4,92E-07;0,121078607;5,64E-07;0,037450594
BG;0,002782587;0,001361615;0,207181921;0,004343276;-0,00611035;7,81E-06;0,174249027;8,70E-15;0,121406523;1,20E-15;0,100555864
MMM;0,002817618;-0,000707116;-0,172803515;0,002939597;-0,006967507;6,86E-08;0,399023684;1,97E-25;0,122673047;7,34E-11;0,076838184
LRCX;0,000892918;-0,000323903;0,281073712;0,006997564;-0,005567023;0,290433532;0,812632416;1,70E-07;0,123489967;6,14E-21;0,101700031
DLTR;0,002083431;0,001681048;0,237004156;0,003173573;-0,006157731;0,003628937;0,146269731;1,06E-11;0,124844125;3,04E-07;0,047887593
TRV;0,003417599;0,000538228;0,182207909;0,004377855;-0,006340954;7,94E-10;0,545507176;2,21E-19;0,125370412;1,69E-19;0,12995091
DGX;0,000709641;0,000237467;0,174735908;0,003161602;-0,006256083;0,179484945;0,781247047;2,57E-20;0,125971528;6,96E-12;0,059456819
AVGO;0,000620223;0,001416506;0,214528427;0,005882194;-0,00558775;0,33965664;0,17793033;1,14E-11;0,126361349;1,74E-24;0,127284666
MSFT;-0,000501129;-0,002960061;0,186497588;0,005029404;-0,005751682;0,375014004;0,001242205;1,31E-15;0,126516582;9,20E-24;0,11222145
NI;0,001130019;-0,001790874;0,172971237;0,004096622;-0,006482978;0,031935416;0,035651873;8,48E-22;0,128157581;9,07E-19;0,090476531
RL;0,004716566;0,001900652;-0,246868298;0,003291414;-0,006279114;8,19E-10;0,122423333;6,75E-11;0,132718289;5,83E-07;0,075121763
CMS;0,000744617;-0,002553591;0,155512341;0,003581011;-0,006535803;0,127898233;0,001287365;3,61E-25;0,140941466;7,21E-17;0,081147705
ORLY;0,001721135;-0,001417469;0,169977689;0,00423859;-0,006200247;0,001345641;0,102033762;1,50E-19;0,141709779;2,50E-19;0,098021664
MAA;0,001688311;-0,001251181;0,177593424;0,004253279;-0,006536807;0,002673063;0,168218867;9,08E-20;0,142783923;6,37E-18;0,090677217
PPG;0,003332369;-3,13E-05;-0,1772918;0,004286716;-0,006375014;4,77E-09;0,972604256;9,46E-19;0,145490122;5,21E-18;0,116282017
COP;0,005461755;0,00167865;-0,250066444;0,006217168;-0,006239811;1,42E-11;0,193876411;6,31E-10;0,147032472;8,74E-19;0,136221002
ANSS;-0,000883111;-0,001908548;0,202655997;0,005618855;-0,006114409;0,174668979;0,070004888;1,37E-13;0,149259311;1,56E-22;0,107086044
AFL;0,004569247;0,000184635;0,180925956;0,005152106;-0,006293136;1,26E-14;0,844762861;2,71E-17;0,150736151;1,81E-23;0,163378749
SBAC;-0,000208151;-0,002611317;0,17958794;0,003999437;-0,006424546;0,719768976;0,005517741;4,58E-18;0,152016372;3,60E-15;0,070964526
AES;0,003291198;0,003504657;0,216589823;0,004735282;-0,006259729;3,06E-06;0,002060408;1,94E-12;0,15271702;1,20E-14;0,110588685
MO;0,002083016;-0,001495551;0,151064745;0,002939296;-0,006986745;2,27E-05;0,059157205;2,94E-28;0,153031163;5,75E-12;0,071082783
VRSN;-0,000467403;-0,003206034;0,161957979;0,004754225;-0,006747027;0,378505002;0,000200228;4,94E-23;0,157821549;5,10E-24;0,114109923
AMT;0,000367942;-0,003152985;0,170326858;0,004907372;-0,006460725;0,510457909;0,000514143;1,79E-19;0,158535867;3,59E-23;0,108608821
LOW;0,001870284;-0,000183552;0,185307354;0,005406272;-0,0063759;0,002326109;0,853113089;3,28E-16;0,1615479;2,18E-23;0,119660554
PSA;0,00110328;-0,002294484;0,152291003;0,003294718;-0,006154615;0,030110981;0,005362461;3,77E-21;0,165399185;1,21E-13;0,067322051
LH;0,001500172;-0,000390213;0,174540653;0,005178928;-0,006035523;0,010691097;0,681060019;6,89E-16;0,168527273;2,10E-23;0,116566935
V;0,001958512;-0,002604579;-0,154655482;0,004868782;-0,006245943;0,000174864;0,002016067;7,49E-21;0,168539882;5,66E-26;0,130678391
ICE;0,000480124;-0,001450154;0,147886165;0,003521961;-0,006404748;0,334440656;0,071827723;1,47E-23;0,168761618;6,72E-16;0,07362857
GEN;0,000373706;0,001232095;0,224316033;0,000204851;-0,006913313;0,620652257;0,313426166;5,55E-13;0,16916229;0,752620917;0,004014736
TYL;-0,001301128;-0,000488536;0,17445642;0,003068211;-0,00621732;0,027206306;0,607900608;1,20E-16;0,169972638;2,01E-09;0,048465206
ETR;0,001451064;-0,001459844;0,159684343;0,004608971;-0,00668189;0,007501467;0,096074025;7,68E-22;0,172434886;6,17E-22;0,1071101
VLO;0,007511023;0,000821386;-0,247443641;0,005924129;-0,005999168;8,28E-18;0,553055556;2,76E-08;0,180731355;2,75E-15;0,141460012
EBAY;0,000241465;-0,001168512;0,182851709;0,002851987;-0,006662075;0,702709777;0,253913164;1,52E-16;0,18102447;2,03E-07;0,03206506
BA;0,006100289;0,000628011;0,260839061;0,005736474;-0,007093208;2,88E-11;0,668247114;5,87E-10;0,182469357;4,16E-13;0,105456087
FAST;0,001728959;-0,0023413;0,144327576;0,004222157;-0,006223358;0,00059654;0,004032432;4,92E-22;0,183264996;1,70E-21;0,108861625
IRM;0,002173648;0,000774872;0,169418628;0,003729455;-0,006034801;0,000245896;0,417603975;1,06E-15;0,184307012;4,92E-13;0,077935358
DG;0,000183098;5,86E-06;0,16647121;0,00221296;-0,006765818;0,753354371;0,995039886;1,24E-19;0,186109725;1,14E-05;0,024684017
MA;0,002065937;-0,003105952;-0,1639524;0,005662718;-0,00619009;0,000339705;0,00086799;3,20E-17;0,186586386;2,06E-28;0,140442551
TRMB;0,002241106;0,003099315;-0,199406191;0,003465501;-0,005957525;0,001446049;0,006448487;2,06E-11;0,188363508;1,30E-08;0,064792968
MOH;0,001003097;-0,00103721;0,184431076;0,004886589;-0,005837865;0,124123178;0,325675056;1,70E-12;0,190426733;1,48E-17;0,083495243
CSGP;0,000197399;-0,001913422;-0,186576404;0,003823959;-0,00572957;0,765072354;0,073736489;7,85E-12;0,191153073;3,12E-11;0,050947802
XYL;0,003167943;-0,000422428;0,16243209;0,00457427;-0,006160664;4,92E-08;0,650413153;5,28E-17;0,19181163;1,98E-19;0,117622515
SJM;0,000276207;-0,001637695;-0,135450922;0,001481071;-0,00622181;0,566793844;0,036074086;1,23E-23;0,193573599;0,000377185;0,018347133
MTB;0,005887923;-9,76E-06;-0,203673165;0,005235388;-0,006508414;1,84E-15;0,993386187;1,75E-12;0,194890898;2,32E-16;0,134183626
AVY;0,003047202;-0,001920099;-0,163761421;0,004681913;-0,005848899;2,48E-07;0,043206489;4,61E-15;0,19602823;1,27E-19;0,112472622
MCO;0,000859973;-0,002763757;0,160710281;0,005694095;-0,006420379;0,135806956;0,003111022;2,90E-18;0,196751106;1,53E-28;0,132719376
FMC;0,003020114;0,000778934;0,174248064;0,005021414;-0,006798451;1,60E-06;0,441513877;1,70E-17;0,197143622;8,21E-20;0,118824537
NDAQ;0,001000999;-0,002901383;0,149770595;0,004836154;-0,006155956;0,064535328;0,000954663;6,01E-19;0,20011363;6,37E-24;0,11338491
SPGI;0,001318093;-0,001696048;0,151574649;0,00509719;-0,006250211;0,01684091;0,057231627;7,18E-19;0,20261456;1,91E-25;0,121571513
MRO;0,005830121;0,002899865;-0,301393457;0,006382291;-0,00604439;1,64E-07;0,105063058;1,36E-05;0,206710912;3,40E-11;0,085873201
CPB;6,86E-05;-0,000821631;0,132551505;0,002070365;-0,006743544;0,888215066;0,298325949;1,15E-26;0,208718233;9,83E-07;0,028440555
QRVO;0,000557089;0,001246184;0,197247277;0,005692265;-0,006369251;0,44708569;0,293379455;7,05E-12;0,212736418;1,07E-18;0,09604341
TXT;0,005371781;-0,000472936;0,187652079;0,005756789;-0,006060141;4,10E-14;0,676026971;8,17E-12;0,214236148;1,07E-20;0,146860964
NKE;0,001634341;-0,002561215;-0,169554393;0,004457735;-0,006528121;0,009855451;0,012438465;5,39E-16;0,21440009;8,76E-16;0,078006916
ADI;0,000801265;0,000901122;0,168285029;0,005558375;-0,006177269;0,203043076;0,37626856;1,20E-14;0,215750625;1,98E-23;0,118978266
BIIB;0,000720518;-0,001388086;0,200824097;0,00371328;-0,007334172;0,355201817;0,271122858;1,29E-13;0,232877632;4,04E-08;0,035730398
CHTR;0,000297211;-0,00269296;-0,156197944;0,003583094;-0,006836915;0,626505206;0,006545993;2,05E-18;0,236482066;1,71E-11;0,053316249
GD;0,003573363;-0,001101571;0,120067516;0,003545081;-0,006337121;8,19E-14;0,148631493;1,91E-25;0,238026122;1,10E-17;0,130561615
UBER;0,001785111;0,00404778;0,23646693;0,004169675;-0,006431502;0,055689642;0,00739923;4,51E-08;0,240242517;2,49E-07;0,051276969
GRMN;0,001553554;-0,000736858;-0,132563517;0,003373377;-0,006124807;0,003048798;0,384132011;6,32E-20;0,240778196;1,62E-13;0,069442939
MGM;0,006199404;0,002889575;-0,248415403;0,007371424;-0,006355364;4,22E-10;0,069184231;2,80E-07;0,241480259;1,30E-17;0,128060962
AEP;0,000715673;-0,002709793;0,123755786;0,002906996;-0,00668875;0,146095073;0,000695118;6,65E-26;0,244425008;1,26E-11;0,057180017
BBWI;0,005597424;0,002047895;-0,273542319;0,005981603;-0,005480997;3,34E-07;0,245316154;6,19E-05;0,24488833;2,79E-10;0,077163603
QCOM;-0,000290456;-7,47E-05;0,178109358;0,005629844;-0,006102504;0,682485479;0,948154244;1,20E-11;0,245605698;2,25E-19;0,09366516
ALGN;0,002245461;1,93E-05;0,243523049;0,006587675;-0,007019513;0,020985775;0,99020609;1,05E-08;0,245882813;9,56E-15;0,074912631
AKAM;-0,001335662;-0,002884634;0,135032642;0,002580347;-0,006330652;0,013547015;0,000999974;5,77E-20;0,247130077;3,73E-08;0,046848582
AAPL;-0,000642301;-0,002527415;0,143526412;0,005304129;-0,005557977;0,267279521;0,007087502;4,29E-14;0,251064437;5,41E-25;0,11696249
CME;0,001920117;-0,001564174;0,134774481;0,004414161;-0,006601748;0,000433078;0,075727271;3,09E-21;0,251256567;3,41E-20;0,102894104
NFLX;-0,002949255;-0,002411875;0,214879393;0,003413641;-0,006614239;0,000855531;0,091257519;2,92E-09;0,259340169;7,75E-06;0,037009798
APTV;0,004713771;0,004877242;0,204632677;0,00564271;-0,0064298;3,10E-08;0,000374467;1,68E-09;0,261826426;2,21E-14;0,121027385
XEL;0,00081145;-0,003245508;0,118273667;0,004224301;-0,0064907;0,096728896;4,34E-05;6,44E-25;0,262113266;1,36E-22;0,108722513
ELV;0,001874871;-0,003040964;0,148909658;0,00520196;-0,006243347;0,002419862;0,002366511;1,87E-15;0,263572968;1,30E-21;0,106952318
LVS;0,004182947;-0,000343321;-0,196959341;0,004532016;-0,006635827;3,55E-07;0,794750452;1,29E-10;0,263584952;1,75E-10;0,072229298
SWKS;0,000173143;0,001349504;0,169100708;0,006390676;-0,006827017;0,805468169;0,235765462;2,28E-14;0,265570307;1,22E-24;0,125623917
DOV;0,003454786;-0,000410017;0,129578767;0,005017319;-0,006412305;3,11E-10;0,640691897;3,08E-20;0,269170889;2,25E-25;0,151795512
WMT;-0,000306398;-0,001557249;0,108140217;0,002238957;-0,006340552;0,503137412;0,035694705;8,45E-27;0,273970844;1,77E-08;0,037965587
RHI;0,003892848;-0,001013404;-0,14689534;0,004381029;-0,006283604;8,93E-10;0,319266198;4,12E-15;0,279365355;1,83E-15;0,10426964
WRK;0,005497471;0,002413602;0,16916493;0,005411706;-0,006504117;8,23E-14;0,039817624;1,52E-12;0,279896598;1,92E-17;0,144117406
PAYC;0,000838837;-0,000300371;0,223626692;0,00608843;-0,007165901;0,381631081;0,846472527;3,30E-09;0,280217431;3,64E-13;0,062179385
STX;0,002045738;0,001986368;0,163633738;0,003735476;-0,005834258;0,003681036;0,080953885;5,54E-11;0,281095868;9,95E-10;0,061362592
CL;0,00039443;-0,001982152;0,096780293;0,003040011;-0,006659145;0,350701684;0,00383139;1,37E-33;0,28906508;2,43E-16;0,07591311
