Date;Mkt-RF;SMB;HML;RF;rendimientos apple ;% Fundflows
 abr-2015;0,59;-3,06;1,82;0,00%;0,58%;-4,76%
 may-2015;1,36;0,93;-1,14;0,00%;4,01%;0,62%
 jun-2015;-1,53;2,91;-0,79;0,00%;-3,79%;-0,23%
 jul-2015;1,54;-4,17;-4,13;0,00%;-3,34%;2,38%
 ago-2015;-6,04;0,33;2,77;0,00%;-7,32%;1,13%
 sep-2015;-3,07;-2,62;0,56;0,00%;-2,19%;2,74%
 oct-2015;7,75;-1,88;-0,46;0,00%;8,01%;0,17%
 nov-2015;0,56;3,6;-0,42;0,00%;-1,01%;1,62%
 dic-2015;-2,17;-2,84;-2,61;0,10%;-11,68%;4,90%
 ene-2016;-5,77;-3,42;2,09;0,10%;-7,86%;0,09%
 feb-2016;-0,07;0,73;-0,57;0,20%;-0,66%;-2,02%
 mar-2016;6,96;0,82;1,19;0,20%;11,99%;2,15%
 abr-2016;0,91;0,76;3,28;0,10%;-15,10%;1,06%
 may-2016;1,78;-0,17;-1,66;0,10%;6,37%;-1,32%
 jun-2016;-0,05;0,61;-1,48;0,20%;-4,38%;-0,66%
 jul-2016;3,95;2,49;-1,32;0,20%;8,61%;6,45%
 ago-2016;0,49;1,15;3,18;0,20%;1,79%;1,44%
 sep-2016;0,25;2,12;-1,24;0,20%;6,35%;0,76%
 oct-2016;-2,02;-4,4;4,09;0,20%;0,46%;1,47%
 nov-2016;4,86;5,71;8,21;0,10%;-2,71%;5,74%
 dic-2016;1,82;0,1;3,53;0,30%;4,67%;7,04%
 ene-2017;1,94;-1,19;-2,75;0,40%;4,69%;1,68%
 feb-2017;3,57;-2,05;-1,67;0,40%;12,12%;1,86%
 mar-2017;0,17;1,14;-3,35;0,30%;4,76%;3,90%
 abr-2017;1,09;0,73;-2,13;0,50%;-0,03%;0,70%
 may-2017;1,06;-2,57;-3,78;0,60%;6,16%;-0,50%
 jun-2017;0,78;2,25;1,48;0,60%;-5,88%;1,86%
 jul-2017;1,87;-1,51;-0,31;0,70%;3,20%;1,55%
 ago-2017;0,16;-1,67;-2,09;0,90%;9,78%;1,11%
 sep-2017;2,51;4,47;3,14;0,90%;-6,21%;-1,53%
 oct-2017;2,25;-1,94;0,2;0,90%;9,24%;3,70%
 nov-2017;3,12;-0,55;-0,03;0,80%;1,64%;0,76%
 dic-2017;1,06;-1,32;0,06;0,90%;-1,52%;6,12%
 ene-2018;5,57;-3,13;-1,29;1,20%;-1,07%;5,99%
 feb-2018;-3,65;0,25;-1,04;1,10%;6,18%;-2,99%
 mar-2018;-2,35;4,06;-0,21;1,10%;-5,99%;-4,79%
 abr-2018;0,28;1,13;0,54;1,40%;-1,51%;1,35%
 may-2018;2,65;5,25;-3,2;1,40%;12,31%;2,62%
 jun-2018;0,48;1,14;-2,34;1,40%;-0,95%;-0,98%
 jul-2018;3,19;-2,22;0,47;1,60%;2,75%;1,61%
 ago-2018;3,44;1,14;-3,94;1,60%;17,93%;1,08%
 sep-2018;0,06;-2,27;-1,7;1,50%;-0,83%;3,14%
 oct-2018;-7,68;-4,78;3,4;1,90%;-3,09%;1,10%
 nov-2018;1,69;-0,68;0,3;1,80%;-20,34%;2,12%
 dic-2018;-9,57;-2,38;-1,84;2,00%;-12,41%;0,63%
 ene-2019;8,4;2,9;-0,46;2,10%;5,36%;-3,40%
 feb-2019;3,4;2,05;-2,67;1,80%;3,96%;1,26%
 mar-2019;1,1;-3,05;-4,17;1,90%;9,26%;2,51%
 abr-2019;3,97;-1,74;2,15;2,10%;5,49%;2,05%
 may-2019;-6,94;-1,32;-2,37;2,10%;-13,65%;-2,02%
 jun-2019;6,93;0,29;-0,71;1,80%;12,26%;0,90%
 jul-2019;1,19;-1,93;0,48;1,90%;7,36%;2,49%
 ago-2019;-2,58;-2,38;-4,78;1,60%;-2,03%;-1,56%
 sep-2019;1,43;-0,96;6,75;1,80%;7,03%;2,30%
 oct-2019;2,06;0,29;-1,91;1,60%;10,50%;-0,78%
 nov-2019;3,87;0,77;-2,02;1,20%;7,17%;0,85%
 dic-2019;2,77;0,73;1,75;1,40%;9,42%;2,60%
 ene-2020;-0,11;-3,11;-6,25;1,30%;5,27%;0,94%
 feb-2020;-8,13;1,07;-3,81;1,20%;-12,42%;-1,33%
 mar-2020;-13,39;-4,83;-13,87;1,30%;-7,24%;1,92%
 abr-2020;13,65;2,45;-1,33;0,00%;14,45%;-1,34%
 may-2020;5,58;2,47;-4,88;0,10%;7,90%;-1,38%
 jun-2020;2,46;2,69;-2,2;0,10%;13,74%;1,59%
